"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭"
"3135","도봉로110가길","일반도로","국지도로","소로","6m미만"
"3136","도봉로110길","일반도로","국지도로","소로","6m미만"
"3137","도봉로110나길","일반도로","국지도로","소로","6m미만"
"3138","도봉로110다길","일반도로","국지도로","소로1류","폭10-12m"
"3139","도봉로110라길","일반도로","국지도로","소로","6m미만"
"3140","도봉로110마길","일반도로","국지도로","소로","6m미만"
"3141","도봉로110바길","일반도로","국지도로","소로","6m미만"
"3142","도봉로110아길","일반도로","국지도로","소로","6m미만"
"3143","도봉로112길","일반도로","국지도로","소로","6m미만"
"3144","도봉로113가길","일반도로","국지도로","소로","6m미만"
"3145","도봉로113길","일반도로","국지도로","소로","6m미만"
"3146","도봉로114길","일반도로","국지도로","소로","6m미만"
"3147","도봉로115길","일반도로","국지도로","소로","6m미만"
"3148","도봉로116길","일반도로","국지도로","소로","6m미만"
"3149","도봉로117길","일반도로","국지도로","소로","6m미만"
"3150","도봉로118길","일반도로","국지도로","소로","6m미만"
"3151","도봉로120길","일반도로","국지도로","소로","6m미만"
"3152","도봉로121가길","일반도로","국지도로","소로","6m미만"
"3153","도봉로121길","일반도로","국지도로","소로","6m미만"
"3154","도봉로123길","일반도로","국지도로","소로","6m미만"
"3155","도봉로125길","일반도로","국지도로","소로3류","폭6-8m"
"3156","도봉로126길","일반도로","국지도로","소로","6m미만"
"3157","도봉로127길","일반도로","국지도로","소로3류","폭6-8m"
"3158","도봉로129길","일반도로","국지도로","소로3류","폭6-8m"
"3159","도봉로13가길","일반도로","국지도로","소로","6m미만"
"3160","도봉로13길","일반도로","국지도로","소로","6m미만"
"3161","도봉로13나길","일반도로","국지도로","소로","6m미만"
"3162","도봉로130길","일반도로","국지도로","소로3류","폭6-8m"
"3163","도봉로131길","일반도로","국지도로","소로3류","폭6-8m"
"3164","도봉로133길","일반도로","국지도로","소로","6m미만"
"3165","도봉로134길","일반도로","국지도로","소로","6m미만"
"3166","도봉로135길","일반도로","국지도로","소로","6m미만"
"3167","도봉로136가길","일반도로","국지도로","중로2류","폭15-20m"
"3168","도봉로136길","일반도로","국지도로","중로1류","폭20-25m"
"3169","도봉로136나길","일반도로","국지도로","중로2류","폭15-20m"
"3170","도봉로136다길","일반도로","국지도로","소로","6m미만"
"3171","도봉로137길","일반도로","국지도로","소로","6m미만"
"3172","도봉로139길","일반도로","국지도로","소로","6m미만"
"3173","도봉로14길","일반도로","국지도로","중로1류","폭20-25m"
"3174","도봉로140길","일반도로","국지도로","소로","6m미만"
"3175","도봉로141길","일반도로","국지도로","소로","6m미만"
"3176","도봉로143길","일반도로","국지도로","소로","6m미만"
"3177","도봉로145가길","일반도로","국지도로","소로","6m미만"
"3178","도봉로145길","일반도로","국지도로","소로","6m미만"
"3179","도봉로145나길","일반도로","국지도로","소로","6m미만"
"3180","도봉로146길","일반도로","국지도로","중로2류","폭15-20m"
"3181","도봉로147길","일반도로","국지도로","소로","6m미만"
"3182","도봉로149길","일반도로","국지도로","소로3류","폭6-8m"
"3183","도봉로15길","일반도로","국지도로","소로1류","폭10-12m"
"3184","도봉로150가길","일반도로","국지도로","소로3류","폭6-8m"
"3185","도봉로150길","일반도로","국지도로","중로2류","폭15-20m"
"3186","도봉로150나길","일반도로","국지도로","소로1류","폭10-12m"
"3187","도봉로150다길","일반도로","국지도로","소로1류","폭10-12m"
"3188","도봉로150라길","일반도로","국지도로","소로2류","폭8-10m"
"3189","도봉로150마길","일반도로","국지도로","소로1류","폭10-12m"
"3190","도봉로150바길","일반도로","국지도로","소로3류","폭6-8m"
"3191","도봉로151길","일반도로","국지도로","소로","6m미만"
"3192","도봉로152가길","일반도로","국지도로","소로","6m미만"
"3193","도봉로152길","일반도로","국지도로","소로3류","폭6-8m"
"3194","도봉로153길","일반도로","국지도로","소로","6m미만"
"3195","도봉로154가길","일반도로","국지도로","소로","6m미만"
"3196","도봉로154길","일반도로","국지도로","소로3류","폭6-8m"
"3197","도봉로155길","일반도로","국지도로","소로","6m미만"
"3198","도봉로156길","일반도로","국지도로","소로","6m미만"
"3199","도봉로157길","일반도로","국지도로","소로","6m미만"
"3200","도봉로159길","일반도로","국지도로","소로","6m미만"
"3201","도봉로16길","일반도로","국지도로","소로","6m미만"
"3202","도봉로160가길","일반도로","국지도로","소로","6m미만"
"3203","도봉로160길","일반도로","국지도로","소로","6m미만"
"3204","도봉로162길","일반도로","국지도로","소로","6m미만"
"3205","도봉로163길","일반도로","국지도로","소로","6m미만"
"3206","도봉로164길","일반도로","국지도로","소로","6m미만"
"3207","도봉로165길","일반도로","국지도로","소로","6m미만"
"3208","도봉로167길","일반도로","국지도로","소로3류","폭6-8m"
"3209","도봉로168길","일반도로","국지도로","소로3류","폭6-8m"
"3210","도봉로169가길","일반도로","국지도로","소로","6m미만"
"3211","도봉로169길","일반도로","국지도로","소로","6m미만"
"3212","도봉로169나길","일반도로","국지도로","소로","6m미만"
"3213","도봉로169다길","일반도로","국지도로","소로","6m미만"
"3214","도봉로169라길","일반도로","국지도로","소로","6m미만"
"3215","도봉로170길","일반도로","국지도로","소로2류","폭8-10m"
"3216","도봉로171길","일반도로","국지도로","소로3류","폭6-8m"
"3217","도봉로173가길","일반도로","국지도로","소로","6m미만"
"3218","도봉로173길","일반도로","국지도로","소로","6m미만"
"3219","도봉로173나길","일반도로","국지도로","소로","6m미만"
"3220","도봉로173다길","일반도로","국지도로","소로","6m미만"
"3221","도봉로175길","일반도로","국지도로","소로","6m미만"
"3222","도봉로177가길","일반도로","국지도로","소로","6m미만"
"3223","도봉로177길","일반도로","국지도로","소로","6m미만"
"3224","도봉로179길","일반도로","국지도로","소로","6m미만"
"3225","도봉로18가길","일반도로","국지도로","소로","6m미만"
"3226","도봉로18길","일반도로","국지도로","소로","6m미만"
"3227","도봉로18나길","일반도로","국지도로","소로","6m미만"
"3228","도봉로18다길","일반도로","국지도로","소로","6m미만"
"3229","도봉로18라길","일반도로","국지도로","소로","6m미만"
"3230","도봉로180가길","일반도로","국지도로","소로2류","폭8-10m"
"3231","도봉로180길","일반도로","국지도로","소로1류","폭10-12m"
"3232","도봉로180나길","일반도로","국지도로","소로2류","폭8-10m"
"3233","도봉로181가길","일반도로","국지도로","소로","6m미만"
"3234","도봉로181길","일반도로","국지도로","소로","6m미만"
"3235","도봉로181나길","일반도로","국지도로","소로","6m미만"
"3236","도봉로183길","일반도로","국지도로","소로","6m미만"
"3237","도봉로185길","일반도로","국지도로","소로","6m미만"
"3238","도봉로187길","일반도로","국지도로","소로3류","폭6-8m"
"3239","도봉로19길","일반도로","국지도로","소로","6m미만"
"3240","도봉로191가길","일반도로","국지도로","소로","6m미만"
"3241","도봉로191길","일반도로","국지도로","소로","6m미만"
"3242","도봉로20가길","일반도로","국지도로","중로2류","폭15-20m"
"3243","도봉로20길","일반도로","국지도로","소로","6m미만"
"3244","도봉로20나길","일반도로","국지도로","소로","6m미만"
"3245","도봉로21길","일반도로","국지도로","소로","6m미만"
"3246","도봉로22길","일반도로","국지도로","소로","6m미만"
"3247","도봉로23가길","일반도로","국지도로","소로","6m미만"
"3248","도봉로23길","일반도로","국지도로","소로","6m미만"
"3249","도봉로23나길","일반도로","국지도로","소로","6m미만"
"3250","도봉로24길","일반도로","국지도로","소로","6m미만"
"3251","도봉로25길","일반도로","국지도로","소로","6m미만"
"3252","도봉로26길","일반도로","국지도로","소로","6m미만"
"3253","도봉로27길","일반도로","국지도로","소로","6m미만"
"3254","도봉로28가길","일반도로","국지도로","소로","6m미만"
"3255","도봉로28길","일반도로","국지도로","소로","6m미만"
"3256","도봉로28나길","일반도로","국지도로","소로","6m미만"
"3257","도봉로29길","일반도로","국지도로","소로","6m미만"
"3258","도봉로3가길","일반도로","국지도로","소로","6m미만"
"3259","도봉로3길","일반도로","국지도로","소로","6m미만"
"3260","도봉로3나길","일반도로","국지도로","소로","6m미만"
"3261","도봉로30길","일반도로","국지도로","소로","6m미만"
"3262","도봉로31길","일반도로","국지도로","소로","6m미만"
"3263","도봉로32길","일반도로","국지도로","소로","6m미만"
"3264","도봉로33길","일반도로","국지도로","소로3류","폭6-8m"
"3265","도봉로34길","일반도로","국지도로","소로","6m미만"
"3266","도봉로35길","일반도로","국지도로","소로","6m미만"
"3267","도봉로36길","일반도로","국지도로","소로3류","폭6-8m"
"3268","도봉로37길","일반도로","국지도로","소로","6m미만"
"3269","도봉로38길","일반도로","국지도로","소로","6m미만"
"3270","도봉로39길","일반도로","국지도로","소로","6m미만"
"3271","도봉로4길","일반도로","국지도로","소로3류","폭6-8m"
"3272","도봉로41길","일반도로","국지도로","소로","6m미만"
"3273","도봉로45길","일반도로","국지도로","소로","6m미만"
"3274","도봉로46길","일반도로","국지도로","소로","6m미만"
"3275","도봉로47길","일반도로","국지도로","소로","6m미만"
"3276","도봉로49길","일반도로","국지도로","소로","6m미만"
"3277","도봉로50길","일반도로","국지도로","소로","6m미만"
"3278","도봉로51길","일반도로","국지도로","소로","6m미만"
"3279","도봉로53가길","일반도로","국지도로","소로","6m미만"
"3280","도봉로53길","일반도로","국지도로","소로","6m미만"
"3281","도봉로54길","일반도로","국지도로","소로2류","폭8-10m"
"3282","도봉로55길","일반도로","국지도로","소로","6m미만"
"3283","도봉로57길","일반도로","국지도로","소로","6m미만"
"3284","도봉로59길","일반도로","국지도로","소로","6m미만"
"3285","도봉로6길","일반도로","국지도로","소로","6m미만"
"3286","도봉로61길","일반도로","국지도로","소로","6m미만"
"3287","도봉로63길","일반도로","국지도로","소로","6m미만"
"3288","도봉로65길","일반도로","국지도로","소로","6m미만"
"3289","도봉로66길","일반도로","국지도로","소로3류","폭6-8m"
"3290","도봉로67가길","일반도로","국지도로","소로","6m미만"
"3291","도봉로67길","일반도로","국지도로","소로","6m미만"
"3292","도봉로67나길","일반도로","국지도로","소로","6m미만"
"3293","도봉로67다길","일반도로","국지도로","소로","6m미만"
"3294","도봉로68길","일반도로","국지도로","소로","6m미만"
"3295","도봉로69길","일반도로","국지도로","소로3류","폭6-8m"
"3296","도봉로71가길","일반도로","국지도로","소로","6m미만"
"3297","도봉로71길","일반도로","국지도로","소로","6m미만"
"3298","도봉로72길","일반도로","국지도로","소로","6m미만"
"3299","도봉로73길","일반도로","국지도로","소로","6m미만"
"3300","도봉로76가길","일반도로","국지도로","소로","6m미만"
"3301","도봉로76길","일반도로","국지도로","소로3류","폭6-8m"
"3302","도봉로77길","일반도로","국지도로","소로","6m미만"
"3303","도봉로78길","일반도로","국지도로","소로","6m미만"
"3304","도봉로8길","일반도로","국지도로","중로2류","폭15-20m"
"3305","도봉로81길","일반도로","국지도로","소로","6m미만"
"3306","도봉로82길","일반도로","국지도로","중로2류","폭15-20m"
"3307","도봉로83길","일반도로","국지도로","소로3류","폭6-8m"
"3308","도봉로85길","일반도로","국지도로","소로","6m미만"
"3309","도봉로87길","일반도로","국지도로","소로","6m미만"
"3310","도봉로89길","일반도로","국지도로","소로2류","폭8-10m"
"3311","도봉로95길","일반도로","국지도로","소로","6m미만"
"3312","도봉로96가길","일반도로","국지도로","소로","6m미만"
"3313","도봉로96길","일반도로","국지도로","소로","6m미만"
"3314","도봉로96나길","일반도로","국지도로","소로","6m미만"
"3315","도봉로96다길","일반도로","국지도로","소로","6m미만"
"3316","도봉로97길","일반도로","국지도로","소로","6m미만"
"3317","도봉로98길","일반도로","국지도로","소로","6m미만"
"3318","도봉로99길","일반도로","국지도로","소로","6m미만"
"3319","도봉산1길","일반도로","국지도로","소로","6m미만"
"3320","도봉산3길","일반도로","국지도로","소로3류","폭6-8m"
"3321","도봉산4가길","일반도로","국지도로","소로3류","폭6-8m"
"3322","도봉산4길","일반도로","국지도로","소로3류","폭6-8m"
"3323","도봉산4나길","일반도로","국지도로","소로3류","폭6-8m"
"3324","도봉산길","일반도로","국지도로","소로","6m미만"
"3325","도봉산입구선","일반도로","보조간선도로","대로3류","폭25-30m"
"3326","도봉역선","일반도로","보조간선도로","중로1류","폭20-25m"
"3327","도산대로","일반도로","국지도로","소로","6m미만"
"3328","도산대로1길","일반도로","국지도로","소로3류","폭6-8m"
"3329","도산대로100길","일반도로","국지도로","소로","6m미만"
"3330","도산대로101길","일반도로","국지도로","소로3류","폭6-8m"
"3331","도산대로102길","일반도로","국지도로","소로","6m미만"
"3332","도산대로11길","일반도로","국지도로","소로3류","폭6-8m"
"3333","도산대로12길","일반도로","국지도로","소로","6m미만"
"3334","도산대로15길","일반도로","국지도로","소로3류","폭6-8m"
"3335","도산대로16길","일반도로","국지도로","소로","6m미만"
"3336","도산대로17길","일반도로","국지도로","소로","6m미만"
"3337","도산대로19길","일반도로","국지도로","소로","6m미만"
"3338","도산대로23길","일반도로","국지도로","소로3류","폭6-8m"
"3339","도산대로24길","일반도로","국지도로","소로2류","폭8-10m"
"3340","도산대로25길","일반도로","국지도로","소로3류","폭6-8m"
"3341","도산대로26길","일반도로","국지도로","소로","6m미만"
"3342","도산대로27길","일반도로","국지도로","소로3류","폭6-8m"
"3343","도산대로28길","일반도로","국지도로","소로","6m미만"
"3344","도산대로30길","일반도로","국지도로","소로","6m미만"
"3345","도산대로33길","일반도로","국지도로","소로","6m미만"
"3346","도산대로34길","일반도로","국지도로","소로","6m미만"
"3347","도산대로35길","일반도로","국지도로","소로","6m미만"
"3348","도산대로37길","일반도로","국지도로","소로3류","폭6-8m"
"3349","도산대로38길","일반도로","국지도로","소로3류","폭6-8m"
"3350","도산대로4길","일반도로","국지도로","소로","6m미만"
"3351","도산대로45길","일반도로","국지도로","소로2류","폭8-10m"
"3352","도산대로46길","일반도로","국지도로","소로1류","폭10-12m"
"3353","도산대로49길","일반도로","국지도로","소로3류","폭6-8m"
"3354","도산대로50길","일반도로","국지도로","소로2류","폭8-10m"
"3355","도산대로51길","일반도로","국지도로","소로","6m미만"
"3356","도산대로53길","일반도로","국지도로","소로","6m미만"
"3357","도산대로54길","일반도로","국지도로","소로","6m미만"
"3358","도산대로55길","일반도로","국지도로","소로","6m미만"
"3359","도산대로56길","일반도로","국지도로","소로","6m미만"
"3360","도산대로57길","일반도로","국지도로","소로2류","폭8-10m"
"3361","도산대로58길","일반도로","국지도로","소로2류","폭8-10m"
"3362","도산대로59길","일반도로","국지도로","소로","6m미만"
"3363","도산대로6길","일반도로","국지도로","소로","6m미만"
"3364","도산대로61길","일반도로","국지도로","소로","6m미만"
"3365","도산대로62길","일반도로","국지도로","소로3류","폭6-8m"
"3366","도산대로63길","일반도로","국지도로","소로","6m미만"
"3367","도산대로66길","일반도로","국지도로","소로","6m미만"
"3368","도산대로67길","일반도로","국지도로","소로","6m미만"
"3369","도산대로68길","일반도로","국지도로","소로","6m미만"
"3370","도산대로70길","일반도로","국지도로","소로","6m미만"
"3371","도산대로72길","일반도로","국지도로","소로","6m미만"
"3372","도산대로75길","일반도로","국지도로","소로3류","폭6-8m"
"3373","도산대로78길","일반도로","국지도로","소로","6m미만"
"3374","도산대로8길","일반도로","국지도로","소로","6m미만"
"3375","도산대로81길","일반도로","국지도로","소로3류","폭6-8m"
"3376","도산대로83길","일반도로","국지도로","소로","6m미만"
"3377","도산대로85길","일반도로","국지도로","소로","6m미만"
"3378","도산대로87길","일반도로","국지도로","소로","6m미만"
"3379","도산대로89길","일반도로","국지도로","소로","6m미만"
"3380","도산대로90길","일반도로","국지도로","소로3류","폭6-8m"
"3381","도산대로92길","일반도로","국지도로","소로3류","폭6-8m"
"3382","도산대로94길","일반도로","국지도로","소로3류","폭6-8m"
"3383","도산대로96길","일반도로","국지도로","소로3류","폭6-8m"
"3384","도산대로98길","일반도로","국지도로","소로3류","폭6-8m"
"3385","도산대로99길","일반도로","국지도로","소로","6m미만"
"3386","도선사길","일반도로","국지도로","중로2류","폭15-20m"
"3387","도신로","일반도로","국지도로","소로","6m미만"
"3388","도신로10가길","일반도로","국지도로","소로","6m미만"
"3389","도신로10길","일반도로","국지도로","소로","6m미만"
"3390","도신로12길","일반도로","국지도로","소로2류","폭8-10m"
"3391","도신로15가길","일반도로","국지도로","소로","6m미만"
"3392","도신로15길","일반도로","국지도로","소로3류","폭6-8m"
"3393","도신로15나길","일반도로","국지도로","소로","6m미만"
"3394","도신로15다길","일반도로","국지도로","소로3류","폭6-8m"
"3395","도신로15라길","일반도로","국지도로","소로2류","폭8-10m"
"3396","도신로17길","일반도로","국지도로","소로3류","폭6-8m"
"3397","도신로19가길","일반도로","국지도로","소로","6m미만"
"3398","도신로19길","일반도로","국지도로","소로","6m미만"
"3399","도신로24길","일반도로","국지도로","소로","6m미만"
"3400","도신로25길","일반도로","국지도로","소로","6m미만"
"3401","도신로27길","일반도로","국지도로","소로","6m미만"
"3402","도신로29가길","일반도로","국지도로","소로","6m미만"
"3403","도신로29길","일반도로","국지도로","소로3류","폭6-8m"
"3404","도신로29나길","일반도로","국지도로","소로","6m미만"
"3405","도신로29다길","일반도로","국지도로","소로","6m미만"
"3406","도신로29라길","일반도로","국지도로","소로","6m미만"
"3407","도신로29마길","일반도로","국지도로","소로","6m미만"
"3408","도신로29바길","일반도로","국지도로","소로","6m미만"
"3409","도신로29사길","일반도로","국지도로","소로","6m미만"
"3410","도신로33가길","일반도로","국지도로","소로","6m미만"
"3411","도신로33길","일반도로","국지도로","소로","6m미만"
"3412","도신로35길","일반도로","국지도로","소로","6m미만"
"3413","도신로36길","일반도로","국지도로","소로","6m미만"
"3414","도신로39가길","일반도로","국지도로","소로","6m미만"
"3415","도신로39길","일반도로","국지도로","소로","6m미만"
"3416","도신로4길","일반도로","국지도로","중로2류","폭15-20m"
"3417","도신로40길","일반도로","국지도로","소로","6m미만"
"3418","도신로43길","일반도로","국지도로","소로","6m미만"
"3419","도신로47가길","일반도로","국지도로","소로","6m미만"
"3420","도신로47길","일반도로","국지도로","소로","6m미만"
"3421","도신로48길","일반도로","국지도로","소로","6m미만"
"3422","도신로49길","일반도로","국지도로","소로","6m미만"
"3423","도신로51길","일반도로","국지도로","소로","6m미만"
"3424","도신로52길","일반도로","국지도로","소로","6m미만"
"3425","도신로53길","일반도로","국지도로","소로","6m미만"
"3426","도신로54길","일반도로","국지도로","소로","6m미만"
"3427","도신로56가길","일반도로","국지도로","소로","6m미만"
"3428","도신로56길","일반도로","국지도로","소로","6m미만"
"3429","도신로58길","일반도로","국지도로","소로","6m미만"
"3430","도신로6길","일반도로","국지도로","소로","6m미만"
"3431","도신로60길","일반도로","국지도로","소로3류","폭6-8m"
"3432","도신로62길","일반도로","국지도로","소로","6m미만"
"3433","도신로64가길","일반도로","국지도로","소로","6m미만"
"3434","도신로64길","일반도로","국지도로","소로","6m미만"
"3435","도신로65길","일반도로","국지도로","소로","6m미만"
"3436","도신로68길","일반도로","국지도로","소로","6m미만"
"3437","도신로8가길","일반도로","국지도로","소로","6m미만"
"3438","도신로8길","일반도로","국지도로","소로","6m미만"
"3439","도신로9길","일반도로","국지도로","소로","6m미만"
"3440","도심순환도로","일반도로","주간선도로","대로2류","폭30-35m"
"3441","도영로","일반도로","국지도로","소로1류","폭10-12m"
"3442","도영로11길","일반도로","국지도로","소로","6m미만"
"3443","도영로20길","일반도로","국지도로","소로2류","폭8-10m"
"3444","도영로22길","일반도로","국지도로","중로2류","폭15-20m"
"3445","도영로7가길","일반도로","국지도로","소로","6m미만"
"3446","도영로7길","일반도로","국지도로","소로","6m미만"
"3447","도화2길","일반도로","국지도로","소로","6m미만"
"3448","도화2안길","일반도로","국지도로","소로","6m미만"
"3449","도화4길","일반도로","국지도로","소로3류","폭6-8m"
"3450","도화길","일반도로","국지도로","소로","6m미만"
"3451","독립문공원길","일반도로","국지도로","중로1류","폭20-25m"
"3452","독립문로","일반도로","국지도로","소로","6m미만"
"3453","독립문로10길","일반도로","국지도로","소로3류","폭6-8m"
"3454","독립문로12가길","일반도로","국지도로","소로","6m미만"
"3455","독립문로12길","일반도로","국지도로","소로","6m미만"
"3456","독립문로12나길","일반도로","국지도로","소로","6m미만"
"3457","독립문로14길","일반도로","국지도로","소로2류","폭8-10m"
"3458","독립문로3길","일반도로","국지도로","소로","6m미만"
"3459","독립문로4길","일반도로","국지도로","소로","6m미만"
"3460","독립문로6길","일반도로","국지도로","소로","6m미만"
"3461","독립문로8길","일반도로","국지도로","소로","6m미만"
"3462","독립문로8안길","일반도로","국지도로","소로","6m미만"
"3463","독막로","일반도로","국지도로","소로","6m미만"
"3464","독막로12길","일반도로","국지도로","소로","6m미만"
"3465","독막로12안길","일반도로","국지도로","소로","6m미만"
"3466","독막로14길","일반도로","국지도로","소로","6m미만"
"3467","독막로15길","일반도로","국지도로","소로","6m미만"
"3468","독막로18길","일반도로","국지도로","소로3류","폭6-8m"
"3469","독막로19길","일반도로","국지도로","소로","6m미만"
"3470","독막로2길","일반도로","국지도로","소로3류","폭6-8m"
"3471","독막로20길","일반도로","국지도로","소로","6m미만"
"3472","독막로20나길","일반도로","국지도로","중로1류","폭20-25m"
"3473","독막로21길","일반도로","국지도로","소로","6m미만"
"3474","독막로22길","일반도로","국지도로","소로3류","폭6-8m"
"3475","독막로24길","일반도로","국지도로","소로","6m미만"
"3476","독막로26길","일반도로","국지도로","소로3류","폭6-8m"
"3477","독막로27길","일반도로","국지도로","소로","6m미만"
"3478","독막로28길","일반도로","국지도로","소로","6m미만"
"3479","독막로29길","일반도로","국지도로","소로","6m미만"
"3480","독막로3길","일반도로","국지도로","소로","6m미만"
"3481","독막로31길","일반도로","국지도로","소로","6m미만"
"3482","독막로32길","일반도로","국지도로","소로","6m미만"
"3483","독막로32안길","일반도로","국지도로","소로","6m미만"
"3484","독막로34길","일반도로","국지도로","소로","6m미만"
"3485","독막로36길","일반도로","국지도로","소로","6m미만"
"3486","독막로38길","일반도로","국지도로","소로","6m미만"
"3487","독막로4길","일반도로","국지도로","소로","6m미만"
"3488","독막로40길","일반도로","국지도로","소로","6m미만"
"3489","독막로42길","일반도로","국지도로","소로1류","폭10-12m"
"3490","독막로5길","일반도로","국지도로","소로3류","폭6-8m"
"3491","독막로6길","일반도로","국지도로","소로3류","폭6-8m"
"3492","독막로7길","일반도로","국지도로","소로3류","폭6-8m"
"3493","독막로8길","일반도로","국지도로","소로3류","폭6-8m"
"3494","독막로9길","일반도로","국지도로","소로","6m미만"
"3495","독산~등촌선","일반도로","보조간선도로","대로2류","폭30-35m"
"3496","독산~봉천선","일반도로","보조간선도로","중로1류","폭20-25m"
"3497","독산로","일반도로","국지도로","소로","6m미만"
"3498","독산로1길","일반도로","국지도로","소로","6m미만"
"3499","독산로10가길","일반도로","국지도로","소로","6m미만"
"3500","독산로10길","일반도로","국지도로","소로","6m미만"
"3501","독산로101길","일반도로","국지도로","소로","6m미만"
"3502","독산로102길","일반도로","국지도로","소로","6m미만"
"3503","독산로103길","일반도로","국지도로","소로","6m미만"
"3504","독산로106길","일반도로","국지도로","소로","6m미만"
"3505","독산로107길","일반도로","국지도로","소로","6m미만"
"3506","독산로108길","일반도로","국지도로","소로3류","폭6-8m"
"3507","독산로109길","일반도로","국지도로","소로3류","폭6-8m"
"3508","독산로11길","일반도로","국지도로","소로3류","폭6-8m"
"3509","독산로14길","일반도로","국지도로","소로","6m미만"
"3510","독산로16길","일반도로","국지도로","소로","6m미만"
"3511","독산로18길","일반도로","국지도로","소로","6m미만"
"3512","독산로2길","일반도로","국지도로","소로3류","폭6-8m"
"3513","독산로20길","일반도로","국지도로","소로","6m미만"
"3514","독산로21길","일반도로","국지도로","소로","6m미만"
"3515","독산로22가길","일반도로","국지도로","소로","6m미만"
"3516","독산로22길","일반도로","국지도로","소로","6m미만"
"3517","독산로23길","일반도로","국지도로","소로","6m미만"
"3518","독산로24가길","일반도로","국지도로","소로","6m미만"
"3519","독산로24길","일반도로","국지도로","소로","6m미만"
"3520","독산로24나길","일반도로","국지도로","소로","6m미만"
"3521","독산로24다길","일반도로","국지도로","소로","6m미만"
"3522","독산로24라길","일반도로","국지도로","소로","6m미만"
"3523","독산로24마길","일반도로","국지도로","소로","6m미만"
"3524","독산로25길","일반도로","국지도로","소로","6m미만"
"3525","독산로26길","일반도로","국지도로","소로","6m미만"
"3526","독산로27길","일반도로","국지도로","소로","6m미만"
"3527","독산로28가길","일반도로","국지도로","소로","6m미만"
"3528","독산로28길","일반도로","국지도로","소로","6m미만"
"3529","독산로28나길","일반도로","국지도로","소로","6m미만"
"3530","독산로29길","일반도로","국지도로","소로","6m미만"
"3531","독산로3길","일반도로","국지도로","소로","6m미만"
"3532","독산로31길","일반도로","국지도로","소로","6m미만"
"3533","독산로32가길","일반도로","국지도로","소로","6m미만"
"3534","독산로32길","일반도로","국지도로","소로","6m미만"
"3535","독산로32나길","일반도로","국지도로","소로","6m미만"
"3536","독산로32다길","일반도로","국지도로","소로","6m미만"
"3537","독산로33길","일반도로","국지도로","소로","6m미만"
"3538","독산로35가길","일반도로","국지도로","소로","6m미만"
"3539","독산로35길","일반도로","국지도로","소로","6m미만"
"3540","독산로36가길","일반도로","국지도로","소로","6m미만"
"3541","독산로36길","일반도로","국지도로","소로","6m미만"
"3542","독산로36나길","일반도로","국지도로","소로3류","폭6-8m"
"3543","독산로38길","일반도로","국지도로","소로","6m미만"
"3544","독산로39길","일반도로","국지도로","소로","6m미만"
"3545","독산로4길","일반도로","국지도로","소로","6m미만"
"3546","독산로40길","일반도로","국지도로","소로","6m미만"
"3547","독산로41가길","일반도로","국지도로","소로","6m미만"
"3548","독산로41길","일반도로","국지도로","소로","6m미만"
"3549","독산로43가길","일반도로","국지도로","소로","6m미만"
"3550","독산로43길","일반도로","국지도로","소로","6m미만"
"3551","독산로44가길","일반도로","국지도로","소로","6m미만"
"3552","독산로44길","일반도로","국지도로","소로","6m미만"
"3553","독산로44나길","일반도로","국지도로","소로","6m미만"
"3554","독산로44다길","일반도로","국지도로","소로","6m미만"
"3555","독산로44라길","일반도로","국지도로","소로","6m미만"
"3556","독산로45가길","일반도로","국지도로","소로","6m미만"
"3557","독산로45길","일반도로","국지도로","소로","6m미만"
"3558","독산로45나길","일반도로","국지도로","소로","6m미만"
"3559","독산로47가길","일반도로","국지도로","소로","6m미만"
"3560","독산로47길","일반도로","국지도로","소로","6m미만"
"3561","독산로49길","일반도로","국지도로","소로","6m미만"
"3562","독산로5길","일반도로","국지도로","소로3류","폭6-8m"
"3563","독산로50가길","일반도로","국지도로","소로","6m미만"
"3564","독산로50길","일반도로","국지도로","소로","6m미만"
"3565","독산로50나길","일반도로","국지도로","소로","6m미만"
"3566","독산로50다길","일반도로","국지도로","소로","6m미만"
"3567","독산로50라길","일반도로","국지도로","소로","6m미만"
"3568","독산로50마길","일반도로","국지도로","소로","6m미만"
"3569","독산로51길","일반도로","국지도로","소로","6m미만"
"3570","독산로52길","일반도로","국지도로","소로3류","폭6-8m"
"3571","독산로53길","일반도로","국지도로","소로","6m미만"
"3572","독산로54길","일반도로","국지도로","소로1류","폭10-12m"
"3573","독산로55길","일반도로","국지도로","소로","6m미만"
"3574","독산로56길","일반도로","국지도로","소로","6m미만"
"3575","독산로58가길","일반도로","국지도로","소로","6m미만"
"3576","독산로58길","일반도로","국지도로","소로","6m미만"
"3577","독산로58나길","일반도로","국지도로","소로","6m미만"
"3578","독산로58다길","일반도로","국지도로","소로","6m미만"
"3579","독산로58라길","일반도로","국지도로","소로","6m미만"
"3580","독산로6가길","일반도로","국지도로","소로","6m미만"
"3581","독산로6길","일반도로","국지도로","소로","6m미만"
"3582","독산로60길","일반도로","국지도로","소로","6m미만"
"3583","독산로62길","일반도로","국지도로","소로","6m미만"
"3584","독산로64가길","일반도로","국지도로","소로","6m미만"
"3585","독산로64길","일반도로","국지도로","소로","6m미만"
"3586","독산로64나길","일반도로","국지도로","소로","6m미만"
"3587","독산로64다길","일반도로","국지도로","소로","6m미만"
