연번,관리번호,도로명주소,X좌표(GRS80TM),Y좌표(GRS80TM),관리기관,관리부서,데이터기준일
176,자양1-4,서울특별시 광진구 자양로21길 8,37.53963 ,127.08250 ,서울특별시 광진구청,자양1동,2025-03-05
177,자양1-5,서울특별시 광진구 뚝섬로59길 69,37.53504 ,127.08300 ,서울특별시 광진구청,자양1동,2025-03-05
178,자양2-1,서울특별시 광진구 자양로3가길 26,37.52892 ,127.08470 ,서울특별시 광진구청,자양2동,2025-03-05
179,자양2-2,서울특별시 광진구 뚝섬로64길 45,37.53242 ,127.09010 ,서울특별시 광진구청,자양2동,2025-03-05
180,자양2-3,서울특별시 광진구 뚝섬로62길 24,37.53224 ,127.08790 ,서울특별시 광진구청,자양2동,2025-03-05
181,자양2-4,서울특별시 광진구 뚝섬로46길 64,37.53024 ,127.07620 ,서울특별시 광진구청,자양2동,2025-03-05
182,자양2-5,서울특별시 광진구 뚝섬로56길 28,37.53022 ,127.08250 ,서울특별시 광진구청,자양2동,2025-03-05
183,자양2-6,서울특별시 광진구 뚝섬로56길 72,37.52774 ,127.08280 ,서울특별시 광진구청,자양2동,2025-03-05
184,자양2-7,서울특별시 광진구 자양로4길 63,37.53235 ,127.08890 ,서울특별시 광진구청,자양2동,2025-03-05
185,자양2-8,서울특별시 광진구 뚝섬로702-12,37.53261 ,127.08750 ,서울특별시 광진구청,자양2동,2025-03-05
186,자양2-9,서울특별시 광진구 뚝섬로62길 60,37.53073 ,127.08840 ,서울특별시 광진구청,자양2동,2025-03-05
187,자양2-10,서울특별시 광진구 뚝섬로64길 76,37.53019 ,127.08910 ,서울특별시 광진구청,자양2동,2025-03-05
188,자양2-11,서울특별시 광진구 뚝섬로58길 81,37.52894 ,127.08390 ,서울특별시 광진구청,자양2동,2025-03-05
189,자양2-12,서울특별시 광진구 뚝섬로52길 74,37.52903 ,127.07810 ,서울특별시 광진구청,자양2동,2025-03-05
190,자양2-13,서울특별시 광진구 뚝섬로52마길 32,37.52891 ,127.08020 ,서울특별시 광진구청,자양2동,2025-03-05
191,자양2-14,서울특별시 광진구 뚝섬로 606,37.53272 ,127.07690 ,서울특별시 광진구청,자양2동,2025-03-05
192,자양3-1,서울특별시 광진구 뚝섬로 568,37.53387 ,127.07270 ,서울특별시 광진구청,자양3동,2025-03-05
193,자양3-2,서울특별시 광진구 뚝섬로 568,37.53258 ,127.07690 ,서울특별시 광진구청,자양3동,2025-03-05
194,자양4-1,서울특별시 광진구 뚝섬로26길 58,37.53412 ,127.06640 ,서울특별시 광진구청,자양4동,2025-03-05
195,자양4-2,서울특별시 광진구 동일로12길 20,37.53951 ,127.06330 ,서울특별시 광진구청,자양4동,2025-03-05
196,자양4-3,서울특별시 광진구 동일로2길 17,37.53500 ,127.06130 ,서울특별시 광진구청,자양4동,2025-03-05
197,자양4-4,서울특별시 광진구 동일로20길 106,37.53966 ,127.06930 ,서울특별시 광진구청,자양4동,2025-03-05
198,자양4-5,서울특별시 광진구 아차산로30길 36,37.53916 ,127.06700 ,서울특별시 광진구청,자양4동,2025-03-05
199,자양4-6,서울특별시 광진구 아차산로 192,37.54136 ,127.06440 ,서울특별시 광진구청,자양4동,2025-03-05
200,자양4-7,서울특별시 광진구 능동로3가길 31,37.53319 ,127.06440 ,서울특별시 광진구청,자양4동,2025-03-05
201,자양4-8,서울특별시 광진구 뚝섬로24길 27,37.53522 ,127.06320 ,서울특별시 광진구청,자양4동,2025-03-05
202,자양4-9,서울특별시 광진구 뚝섬로23길 17,37.53758 ,127.06660 ,서울특별시 광진구청,자양4동,2025-03-05
203,자양4-10,서울특별시 광진구 뚝섬로31길 27,37.53676 ,127.06790 ,서울특별시 광진구청,자양4동,2025-03-05
204,화양-1,서울특별시 광진구 능동로17길 39,37.54651 ,127.07140 ,서울특별시 광진구청,화양동,2025-03-05
205,화양-2,서울특별시 광진구 능동로17길 39,37.54671 ,127.07140 ,서울특별시 광진구청,화양동,2025-03-05
206,화양-3,서울특별시 광진구 광나루로18길 21,37.54671 ,127.07190 ,서울특별시 광진구청,화양동,2025-03-05
207,화양-4,서울특별시 광진구 능동로15길 4,37.54494 ,127.07290 ,서울특별시 광진구청,화양동,2025-03-05
208,화양-5,서울특별시 광진구 광나루로20길 17,37.54636 ,127.07450 ,서울특별시 광진구청,화양동,2025-03-05
209,화양-6,서울특별시 광진구 능동로16길 9,37.54491 ,127.07360 ,서울특별시 광진구청,화양동,2025-03-05
210,군자-1,서울특별시 광진구 능동로21길 40,37.55232 ,127.07500 ,서울특별시 광진구청,군자동,2025-03-05
211,군자-2,서울특별시 광진구 능동로23길 22,37.55261 ,127.07590 ,서울특별시 광진구청,군자동,2025-03-05
212,군자-3,서울특별시 광진구 능동로25길 35,37.55274 ,127.07500 ,서울특별시 광진구청,군자동,2025-03-05
213,군자-4,서울특별시 광진구 능동로27가길 34,37.55335 ,127.07490 ,서울특별시 광진구청,군자동,2025-03-05
